-		s	{double[1000]}	double[]
		[826]	-5.8778525229248553	double
		[827]	-9.5105651629515062	double
		[828]	-9.510565162951643	double
		[829]	-5.8778525229252114	double
		[830]	2.9409526029755551E-13	double
		[831]	5.8778525229247682	double
		[832]	9.5105651629514725	double
		[833]	9.510565162951675	double
		[834]	5.8778525229252994	double
		[835]	-1.862892435797181E-13	double
		[836]	-5.87785252292468	double
		[837]	-9.5105651629514387	double
		[838]	-9.5105651629517087	double
		[839]	-5.8778525229244662	double
		[840]	7.84832268618807E-14	double
		[841]	5.8778525229245933	double
		[842]	9.5105651629514067	double
		[843]	9.5105651629517425	double
		[844]	5.8778525229245533	double
		[845]	2.932278985595671E-14	double
		[846]	-5.8778525229245062	double
		[847]	-9.510565162951373	double
		[848]	-9.5105651629514245	double
		[849]	-5.8778525229246412	double
		[850]	-1.3712880657379412E-13	double
		[851]	5.8778525229244192	double
		[852]	9.51056516295134	double
		[853]	9.5105651629514583	double
		[854]	5.8778525229247283	double
		[855]	2.4493482329163152E-13	double
		[856]	-5.8778525229243321	double
		[857]	-9.5105651629513055	double
		[858]	-9.51056516295149	double
		[859]	-5.8778525229248153	double
		[860]	-3.5274084000946893E-13	double
		[861]	5.8778525229242442	double
		[862]	9.5105651629516235	double
		[863]	9.510565162951524	double
		[864]	5.8778525229249023	double
		[865]	4.6054685672730633E-13	double
		[866]	-5.8778525229241572	double
		[867]	-9.5105651629515915	double
		[868]	-9.5105651629515577	double
		[869]	-5.8778525229249894	double
		[870]	-5.6835287344514374E-13	double
		[871]	5.87785252292499	double
		[872]	9.5105651629515577	double
		[873]	9.5105651629515915	double
		[874]	5.8778525229250773	double
		[875]	6.7615889016298114E-13	double
		[876]	-5.8778525229249023	double
		[877]	-9.510565162951524	double
		[878]	-9.5105651629516235	double
		[879]	-5.8778525229251644	double
		[880]	-7.8396490688081855E-13	double
		[881]	5.8778525229248153	double
		[882]	9.51056516295149	double
		[883]	9.5105651629516572	double
		[884]	5.8778525229252514	double
		[885]	-2.4509745361750435E-13	double
		[886]	-5.8778525229247283	double
		[887]	-9.5105651629514583	double
		[888]	-9.510565162951691	double
		[889]	-5.8778525229253384	double
		[890]	1.3729143689966694E-13	double
		[891]	5.8778525229246412	double
		[892]	9.5105651629514245	double
		[893]	9.5105651629517247	double
		[894]	5.8778525229245062	double
		[895]	-2.9485420181829536E-14	double
		[896]	-5.8778525229245542	double
		[897]	-9.51056516295139	double
		[898]	-9.5105651629517567	double
		[899]	-5.8778525229245933	double
		[900]	-7.8320596536007869E-14	double
		[901]	5.8778525229244662	double
		[902]	9.510565162951357	double
		[903]	9.5105651629514387	double
		[904]	5.87785252292468	double
		[905]	1.8612661325384527E-13	double
		[906]	-5.8778525229243792	double
		[907]	-9.510565162951325	double
		[908]	-9.5105651629514725	double
		[909]	-5.8778525229247673	double
		[910]	-2.9393262997168268E-13	double
		[911]	5.8778525229242922	double
		[912]	9.510565162951643	double
		[913]	9.5105651629515062	double
		[914]	5.8778525229248553	double
		[915]	4.0173864668952008E-13	double
		[916]	-5.8778525229242051	double
		[917]	-9.51056516295161	double
		[918]	-9.51056516295154	double
		[919]	-5.8778525229249423	double
		[920]	-5.0954466340735749E-13	double
		[921]	5.8778525229241181	double
		[922]	9.5105651629515755	double
		[923]	9.5105651629515719	double
		[924]	5.8778525229250294	double
		[925]	6.173506801251949E-13	double
		[926]	-5.87785252292495	double
		[927]	-9.5105651629515418	double
		[928]	-9.5105651629516057	double
		[929]	-5.8778525229251164	double
		[930]	-7.251566968430323E-13	double
		[931]	5.8778525229248633	double
		[932]	9.51056516295151	double
		[933]	9.51056516295164	double
		[934]	5.8778525229252034	double
		[935]	-3.0390566365529059E-13	double
		[936]	-5.8778525229247753	double
		[937]	-9.510565162951476	double
		[938]	-9.5105651629516732	double
		[939]	-5.8778525229252914	double
		[940]	1.9609964693745319E-13	double
		[941]	5.8778525229246883	double
		[942]	9.5105651629514423	double
		[943]	9.5105651629517052	double
		[944]	5.8778525229253784	double
		[945]	-8.8293630219615782E-14	double
		[946]	-5.8778525229246013	double
		[947]	-9.5105651629514085	double
		[948]	-9.5105651629517389	double
		[949]	-5.8778525229245453	double
		[950]	-1.9512386498221623E-14	double
		[951]	5.8778525229245142	double
		[952]	9.5105651629513766	double
		[953]	9.5105651629517727	double
		[954]	5.8778525229246332	double
		[955]	1.2731840321605903E-13	double
		[956]	-5.8778525229244272	double
		[957]	-9.5105651629513428	double
		[958]	-9.5105651629514547	double
		[959]	-5.87785252292472	double
		[960]	-2.3512441993389643E-13	double
		[961]	5.8778525229243392	double
		[962]	9.510565162951309	double
		[963]	9.5105651629514885	double
		[964]	5.8778525229248073	double
		[965]	3.4293043665173384E-13	double
		[966]	-5.8778525229242522	double
		[967]	-9.510565162951627	double
		[968]	-9.51056516295152	double
		[969]	-5.8778525229248944	double
		[970]	-4.5073645336957124E-13	double
		[971]	5.8778525229241652	double
		[972]	9.5105651629515933	double
		[973]	9.5105651629515542	double
		[974]	5.8778525229249814	double
		[975]	5.5854247008740865E-13	double
		[976]	-5.8778525229249974	double
		[977]	-9.5105651629515613	double
		[978]	-9.5105651629515879	double
		[979]	-5.8778525229250693	double
		[980]	-6.6634848680524605E-13	double
		[981]	5.87785252292491	double
		[982]	9.5105651629515275	double
		[983]	9.5105651629516217	double
		[984]	5.8778525229251564	double
		[985]	7.7415450352308346E-13	double
		[986]	-5.8778525229248233	double
		[987]	-9.5105651629514938	double
		[988]	-9.5105651629516537	double
		[989]	-5.8778525229252434	double
		[990]	2.5490785697523943E-13	double
		[991]	5.8778525229247363	double
		[992]	9.51056516295146	double
		[993]	9.5105651629516874	double
		[994]	5.8778525229253304	double
		[995]	-1.4710184025740203E-13	double
		[996]	-5.8778525229246492	double
		[997]	-9.5105651629514281	double
		[998]	-9.5105651629517212	double
		[999]	-5.8778525229244982	double
